更新时间,#genre#
湖北卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000522/index.m3u8$订阅源-IPv6
湖北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/index.m3u8$订阅源-IPv6
湖北卫视,http://59.56.215.8:8000/rtp/239.61.2.120:8714$组播源
湖北卫视,http://218.24.193.146:808/rtp/232.0.0.124:1234$组播源
湖北卫视,http://61.138.128.226:19901/tsfile/live/0132_1.m3u8$订阅源
湖北卫视,http://36.129.204.117:9003//hls/47/index.m3u8$订阅源
黑龙江卫视,http://183.215.211.219:9998/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖南酒店源
黑龙江卫视,http://61.136.172.236:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源
黑龙江卫视,http://59.56.215.8:8000/rtp/239.61.2.34:8198$组播源
黑龙江卫视,http://[2409:8087:1a09:df::401d]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226421/1.m3u8?icpid=88888888&from=5&hms_devid=980&online=1720054946&vqe=3$订阅源-IPv6
